country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,16.6,,,,,,,,1.57,,,,,,,,,,,,,,,,,,1.03,,,0.29,0.31,0.09,,2.02
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,1.77,3.03,2.74,2.18,,1.64,1.37,2.11,0.71,1.69,1.31,0.98,1.39,1.47,,1.64,1.26,1.32,1.44,1.83,2.28,3.05,3.42,2.76,3.79
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14,,,,,,0.86,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12,,0.08,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,3.85,,,,,7.27,,,,,,,,,,,,,,0.39,,,,,,,,,8.28,6.06
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,1.44,2.23,2.17,1.11,1.5,2.57,1.98,1.3,1.36,2.25,3.67,2.79,1.65,1.57,5.02,6.02,4.76,6.07,5.14,4.31,3.34,2.9,2.12,2.91,4.22,3.42,3.18,3.39,3.8,4.06,3.36,2.9,3.75,4.43,4.49,4.36,3.75,3.02,4.15,3.35,4.69,3.62,3.88,8.12
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.61,0,0.59,0.45,,,,,,,,,,,1.16,1.28,1.49,,,,0.71,0.85,0.67,1.77,0.89,0.63,,1.37,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.68,,,,,,,,,1.78,0.38,1.19,9.09,1.81,3.08,1.04,5.16,2.07,2.67,2.18,6.64,6.07,6.56,5.92,11.2,9.05,1.89,2.14,2.33,1.71,2.38,3.06,2.22,2.33,2.2,2.56,5.8
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,,,,,,,,
