country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.41,,,,,,,,,,,,1.72,,,,,0.75,,,,,,0.81,,0.67,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83,,4.77,4.11,,,3.41,3.13,2.65,3.55,4.63,4.62,4.21,2.75,1.55
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,4.19,,,,,,,,0.58,1.03,0.86,,,,0.58,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,0.59,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,2.75,1.21,3.87,2.7,1.37,3.13,1.7,,,1.33,1.28,1.14,1.02,0.95,0.86,0.75,0.51,0.52,1.47,2.58,0.76,0.99,0.93,1.7,1.95,1.31,1.04,1.35,1.37,1.27,1.4,1.68,1.35,1.82
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3,,51.7,54.4,,58.7,,54,,44,,,,,,,,,2.1,,1.5,,,6.8,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,0.72
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.77,1.09,1.11,,1.37,1.97,0.95,1.43,0.91,0.45,0.71,0.86,1.92,1.24,1.15,0.87,0.97,1.78
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,,10.6,9.12,8.79,9.89,11.7,7.54,7.13,7.64,8.98,6.99,7.05,6.65,6.06,,0.13,,0.14,0.15,0.17,0.15,0.15,0.16,0.06,0.12,0.12,0.11,0.1,0.15,0.13,0.18,0.18,0.15,0.09,0.13
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.58,1.53,,,3.16,,,,1.54,2.35,1.25,1.15,,1.06,0.93,1.57,1.49,1.59,1.32,0.72,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.11,0.07,,0.34,0.85,,1.99,1.06,1.9,2.93,2.39,2.2,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,1.95,,,,,,,,,,,,,,1.63,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,,,,,,,,6.23,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,0.17,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93,4.57,4.44,5.62,3.66,6.63,8.81,4.84,5.63,3.6,2.04,3.48,3.61,4.29,2.43,1.71,3.47,4.1,4,2.72,3.02,2.45,2.89,2.95,3.11,3.71,2.95,2.57,2.44
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32,7.12,5.02,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.84,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,2.27,2.49,,2.52,,2.7,2.44,,2.04,,0.47,1.67,,4.76,,1.45,4.48,1.28,3.66,,3.38,2.76,2.48,3.91,2.55,1.62,4,2.92,3.07,3.52,3.43,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,,,,,,,,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,1.36,1.21,,,,,,,,0.26,0.86,,1.22,0.48,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57,,,,,,2.25,2.56,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.94,,,,,2.36,0.35,0.69,0.95,0.89,1.62,0.64,0.66,0.26
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,6.06,14.3,6.67,,,28.8,,,,,,,3.37,,,4.17,,6.16,3.05,4.11,2.75,3,1.74,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,3.23,2.86,2.61,3.27,2.98,2.55,4.07,2.79,3.88,2.78,2.74,3.5,3.23,,
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,13.2,,,,2.75,,24.3,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.03,0.02,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,,,1.62,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,5.88,7.92,8,,4.76,3.33,,3.45,,3.33,2.94,,4.55,3.7,,,3.7,,,3.57,3.13,3.23,,,5.1,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,2.11,,3.02,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.5,0,0,0.69,0,0,0,0,0,0,0.34,0,0,0.42,0,0,0,,,0.48,0.24,,,,,0.91,0.74,0.75,0.83,1.34,1.74,1.22
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,0,0,0,12.5,0,0,6.67,0.15,0,0.18,4.55,0,4,0.19,0.03,0.1,0.09,0.04,0.12,0.27,0.18,0.09,0.08,0.05,0.1,0.04,0.17,0.4,0.15,0.07,1.82,0.19,0.09,0.13,0.07,0.03,0.16,0.27,0.07,0.14,0.15,0.49
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,1.45,,,,,1.17,,0.14,0.19,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,2.05,,,,,4.29,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.12,,,,,,,,,0.09,0.09,,,0.17,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,3.03,5,9.09,7.12,11.9,6.15,4.07,5.58,4.24,3.01,3.66,3.87,2.99,2.8,2.54,2.6,2.88,3.18,2.05,3.11,3.84,3.58
USA,2.3,3.8,3.4,2.9,2.2,1.4,3,2.3,2.3,3.4,3.7,2.8,2.9,4,4.2,3.2,3.3,2.9,2.8,2.7,2.7,2.3,3.1,3.6,3.5,2.9,3.6,5,5,4.7,3.8,3.3,3.1,3.6,3.2,3.4,3.8,3.3,2.8,2.4,2.9,2.9,3.1,3.3,4.5,3.1,3.93,3.61,3.82,3.55,3.31,3.21,2.73,2.94,3.92,3.62,3.4,3.52,2.99,3.11,3.94,6.13,6.21,6.53,6.31,5.12,4.7,3.86,3.92,3.84,3.32,3.06,8.29
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,,,,3.2,2.24,1.52,1.25,0.9,1.16,0.94,0.84,,,,,0.48,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,0.05,,,,0.07,,0.07,0.11,0.13,0.24,0.19,0.05,0.77,0.55
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,2.99,,2.98,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,,,,,0.53,,,,,,,,,,,35.2,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,4.89,8.83,8.38,5.26,9.15,6.47,9.95,7.76,5.52,2.9,5.39,4.98,3.51,2.34,5.11,2.92,4.63,2.1,3.07,5.13
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,,,,,,,,,,,,0.3,,,,,2.68,3.61,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,1.5,,,,,,,0.58,,,,,,,,10.4,
